strata,method,power_LowEff_B,power_ModEff_B,power_LargeEff_B,alpha_B,,power_LowEff_C,power_ModEff_C,power_LargeEff_C,alpha_C
,,,,,,,,,,
Strata *0,AdACE,0.31,0.737,0.953,0.063,,0.313,0.77,0.973,0.053
Strata *0,Bayesian,0.797,0.987,0.99,0.513,,0.783,0.957,0.997,0.453
Strata *0,PS,0.31,0.647,0.93,0.053,,0.2,0.64,0.893,0.04
Strata *0,PS(Cov-adj),0.457,0.817,0.987,0.11,,0.393,0.87,0.987,0.077
,,,,,,,,,,
Strata 00,AdACE,0.197,0.527,0.873,0.037,,0.21,0.603,0.92,0.03
Strata 00,Bayesian,0.563,0.803,0.95,0.387,,0.63,0.86,0.98,0.407
Strata 00,PS,0.157,0.48,0.837,0.06,,0.19,0.59,0.903,0.043
Strata 00,PS(Cov-adj),0.173,0.54,0.887,0.053,,0.243,0.67,0.943,0.043
,,,,,,,,,,
Strata 01,Bayesian,0.443,0.267,0.56,0.763,,0.437,0.287,0.46,0.73
Strata 01,PS,0.117,0.067,0.17,0.367,,0.107,0.08,0.137,0.333
Strata 01,PS(Cov-adj),0.12,0.063,0.177,0.333,,0.097,0.087,0.127,0.3
,,,,,,,,,,
Strata 10,Bayesian,0.913,0.98,1,0.73,,0.883,0.973,0.997,0.713
Strata 10,PS,0.587,0.777,0.933,0.317,,0.49,0.727,0.873,0.253
Strata 10,PS(Cov-adj),0.617,0.8,0.937,0.3,,0.487,0.717,0.87,0.243
