"","Sim","trued_01","trued_11","trued_00","trued_10","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,-2.825,2.775,0.767781065088757,4.18916666666667,0.922992874252729,0.301636350443694,1.49601063829787,0.573017764045144,0.222140227576993,0.23794374112767,0.807406626127871,0.316598973901905,1.49601063829787,0.688604012170001,0.222140227576993,0.23539441402935,0.759478075058417,0.323971628936133,1.49907209383177,0.739594018773349,0.224315339545709,0.238446252753484,0.749695321986348,0.325266473079729,1.57153492533155,0.821839603345197,0.225220425165689,0.238598386490331
"2",2,-2.39758620689655,-0.266315789473684,0.678848780487805,3.31714285714286,0.74202201597358,0.169843664185208,1.83938848920863,1.09736647323505,0.138080649293913,0.122709391630173,0.552919768695673,0.18488807607419,1.83938848920863,1.28646872051296,0.138080649293913,0.14347770863149,0.763711360265676,0.190316236576772,1.96589450192848,1.2021831416628,0.146093515887967,0.123872009060877,0.538223564188133,0.185231229516605,1.91762461227483,1.3794010480867,0.139800404562986,0.123984973741702
"3",3,-3.0426,0.291052631578947,0.755236220472441,2.93539130434783,0.734369604050657,0.17268062247515,1.34729055258467,0.612920948534013,0.132171904739984,0.135197564442337,0.537340696268636,0.184524591528539,1.34729055258467,0.809949856316034,0.132171904739984,0.136692880478496,0.747851535189322,0.191845815390912,1.49097887056848,0.743127335379159,0.137316132828905,0.136541282534335,0.487546185543309,0.188710595257496,1.44734685078646,0.959800665243148,0.133023046561623,0.136793002068503
"4",4,-2.57857142857143,-0.194666666666667,0.809439439439439,2.76764227642276,1.01455020717202,0.176683066707045,1.63347517730496,0.618924970132943,0.132705656479888,0.134626311525865,0.876974439632772,0.184175997533074,1.63347517730496,0.756500737672193,0.132705656479888,0.13453927352285,0.946561936351654,0.193915420950838,1.68281267771193,0.736250741360272,0.1404660831081,0.136296554669092,0.808419968735882,0.189264245745901,1.71645642888344,0.908036460147561,0.134618463065792,0.135580487237138
"5",5,-2.0031746031746,0.67375,0.791445427728614,2.69192307692308,0.729579102934778,0.168488412264902,1.59449378330373,0.864914680368952,0.132535105081088,0.130992495752799,0.735541422569419,0.183910127743919,1.59449378330373,0.858952360734311,0.132535105081088,0.136313763219151,0.598159911467759,0.187812923222588,1.58111254081564,0.982952629347878,0.134960240082497,0.133934356428999,0.681043325395617,0.185832366554981,1.6651260181828,0.984082692787185,0.133850143633719,0.1313645092352
"6",6,-3.00811320754717,2.34090909090909,0.668060724779628,2.83234782608696,0.722756924221923,0.171296913090534,1.6692389380531,0.946482013831174,0.138559647562699,0.132258092847146,0.740070012095478,0.18559523618871,1.6692389380531,0.929168925957619,0.138559647562699,0.134001512014789,0.557677092140944,0.190461771245645,1.65144053824605,1.0937634461051,0.138461362032638,0.134272531640775,0.709307120168506,0.187741597548966,1.7792912961766,1.0699841760081,0.139393595137414,0.128530451663305
"7",7,-3.54307692307692,-0.877777777777778,0.729404878048781,3.69885964912281,1.092172740974,0.175220782169602,1.84742556917688,0.755252828202884,0.132393066263529,0.132863131551128,0.914133950235572,0.182479648649963,1.84742556917688,0.93329161894131,0.132393066263529,0.136411137787324,1.06178761724284,0.191424509531465,1.91630976203946,0.854522144796623,0.138707395847899,0.134134097543831,0.821214946508724,0.187072144562326,1.90471595920609,1.08350101269737,0.133498643152279,0.133197294549556
"8",8,-1.822,2.77117647058824,0.747888015717092,2.85028571428571,0.879794421760317,0.17118153991667,1.68529307282416,0.805498651063839,0.128518590095602,0.131285803155021,0.871424248472559,0.179215812623337,1.68529307282416,0.813868824351597,0.128518590095602,0.133213782390252,0.72507387718542,0.184797042009408,1.63595139277761,0.910877515592186,0.13321421436,0.132621172483889,0.825893567860422,0.182119732781287,1.76274966707066,0.936856099210239,0.129975433934671,0.130061452227776
"9",9,-1.40375,1.750625,0.557464251668256,3.50042105263158,0.812795940360472,0.169309808193822,1.8186013986014,1.00580545824093,0.129140780671511,0.132080887116827,0.730999900760016,0.180066963390033,1.8186013986014,1.08760149784138,0.129140780671511,0.139708736850002,0.763389464136773,0.186376965053383,1.88057795232928,1.1171884881925,0.13327930870545,0.132541776251074,0.646428314081905,0.183582291059164,1.89427344635808,1.24784513227617,0.13113584109463,0.130645436784866
"10",10,-2.82186440677966,-0.185294117647059,0.739577603143418,2.4427358490566,0.738236810207635,0.175929654820071,1.59443447037702,0.856197660169385,0.1325337611703,0.140134387762916,0.628122223370893,0.187376854163861,1.59443447037702,0.966312247006127,0.1325337611703,0.14356171611711,0.668316337323901,0.195662151390856,1.66165078649321,0.99333444916931,0.136760886450785,0.142047726646168,0.562002539019187,0.190660602562669,1.6789564734781,1.11695393445892,0.13390572693822,0.138881348385702
