"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,0.785205479452055,1.54130434782609,0.64160621761658,1.21840909090909,1.05461964924267,1.37268348889792,0.802747955645476,1.12077912498419,0.909940499005517,0.367900187196484,0.54566697482448,0.236741336379667,0.350120448587193,0.196787455590126,0.333548532432014,0.303195870689011,0.338743462689446,0.434555655502287,0.524244173439595,1.77569076605332,2.44217110710682,1.2667524486015,1.8070025944661,1.29563682457144,0.00414917841727935,0.0118827708289351,0.000696831025263633,0.00136892398214972,3.76453190797932e-06,0.836419361972663,1.58633572399096,0.681963060099728,1.31326146938383,0.914315946850126,0.268431929107525,0.351838489400394,0.191326289951783,0.259008048501315,0.164402667393306,0.310302448621306,0.896744956391208,0.306970422498566,0.805615022615246,0.592092639796929,1.36253627532402,2.27592649159071,1.05695569770089,1.82090791615241,1.23653925390332,0.00183355923642636,6.52247295429564e-06,0.000364692125320643,3.97084688019689e-07,2.67554158828176e-08,0.18508149774485,0.150028846777139,0.489435649505605,0.249524035340509,73,46,193,88,281
"2",2,0.00717054263565892,1.119296875,0.672654545454546,1.37007575757576,0.232684141917252,0.645610742084254,0.503510350848068,0.958163607808713,0.657342779377734,0.205410598634674,0.300366431981749,0.142631703117039,0.202871513130065,0.117041684826243,-0.16991323344952,0.0569033532352258,0.223957349685062,0.56054274858464,0.427945292428409,0.635281517284025,1.23431813093328,0.783063352011075,1.35578446703279,0.886740266327058,0.257308443689929,0.0316018792895889,0.000415334647309584,2.32382672016307e-06,1.95074736364376e-08,-0.108468620760618,1.25720972039239,0.563157007002172,1.10478157165935,0.74792997046595,0.170337031832938,0.230727197465735,0.124781740072618,0.168563864703358,0.104766091775728,-0.442323068386629,0.804992723105689,0.318589290531603,0.77440246774589,0.542592203784504,0.225385826865393,1.70942671767909,0.807724723472741,1.43516067557282,0.953267737147395,0.524262779379469,5.06819346490772e-08,6.38759271365252e-06,5.59847723735629e-11,9.39803790345195e-13,0.3264261321939,0.0838543535931616,0.400127769940118,0.313137519332384,258,128,550,264,814
"3",3,-0.0267338709677419,0.699312977099237,1.04775862068966,1.10211618257261,0.193649522532408,0.341963639045617,0.514213781811781,0.712611883102132,0.576552711441173,0.212600448708688,0.350107062451693,0.133232216919252,0.216545811224711,0.114145913796003,-0.223039700033675,-0.344233594092817,0.253083435069618,0.288189892098689,0.352830831418594,0.610338745098491,1.02816087218405,0.775344128553943,1.13703387410557,0.800274591463752,0.362368455208571,0.328697792372169,0.000113605158282182,0.000998981128179866,4.39468783364205e-07,-0.213317217392852,0.58393324538943,0.634629060031992,1.05613599397241,0.783252892230637,0.175246764420889,0.25873812183645,0.117558759482566,0.177918864609196,0.102447422924235,-0.556794564064969,0.0768158451624518,0.404218125378957,0.707421427168129,0.582459632990193,0.130160129279265,1.09105064561641,0.865039994685028,1.40485056077669,0.984046151471082,0.223513249822127,0.0240174214139051,6.72382965971607e-08,2.91963608844981e-09,2.08721928629529e-14,0.203041168154243,0.153899658976542,0.527935026174938,0.21274997126858,248,131,580,241,821
"4",4,0.48136,0.628211382113821,0.583386809269162,1.72477443609023,0.662937882937213,0.803050380852409,0.890596067500055,1.10171579494665,0.964954730955323,0.221763163521423,0.323294310425616,0.133258277448015,0.202325950390669,0.112091942450149,0.228290069337557,0.16940517601149,0.6294146430601,0.705164219043098,0.745258560795895,1.09758569653687,1.43669558569333,1.15177749194001,1.49826737085019,1.18465090111475,0.00279529717626792,0.012993012469261,2.33728592036186e-11,5.17320808413047e-08,0,0.288282781689313,0.721226911699848,0.828302513999257,1.75266250749968,1.14340019950715,0.181398400071359,0.244015756535277,0.117578452728399,0.168204285951514,0.100789522761846,-0.0672515493037391,0.24296481723041,0.59785298129365,1.42298816498943,0.945856364874951,0.643817112682366,1.19948900616929,1.05875204670486,2.08233685000992,1.34094403413935,0.112009717017169,0.0031200372036585,1.85895743243236e-12,0,0,0.174167737647828,0.186993354123107,0.525072266196888,0.212572974044982,250,123,561,266,827
"5",5,0.201888412017167,0.53888,0.908817391304348,1.24520599250936,0.406698218974043,0.417960709323267,0.744377116221879,0.689439107507949,0.724666225678618,0.223363335023683,0.344135139304923,0.130460132314727,0.209326673311667,0.111309405853234,-0.031085873139131,-0.256531769529055,0.488679955466684,0.2791663668135,0.506503799065729,0.844482311087216,1.09245318817559,1.00007427697707,1.0997118482024,0.942828652291508,0.0686384498878296,0.224547332158165,1.15809928313837e-08,0.000989118449656989,7.49622586226906e-11,0.12446630071265,0.248812701067489,0.734637535601812,1.23197511309889,0.881975248841579,0.18245709746829,0.255574946221442,0.11539467937464,0.173017492768381,0.100157236754581,-0.233143039048914,-0.252104988877298,0.50846812001997,0.892867058577446,0.685670672011549,0.482075640474213,0.749730391012275,0.960806951183653,1.57108316762034,1.07827982567161,0.495133047231247,0.330284469339925,1.93638216572367e-10,1.075139977047e-12,0,0.0794176810391191,0.221024076322735,0.6254385585627,0.119477996267621,233,125,575,267,842
"6",6,-0.109277108433735,0.866694214876033,0.649021352313167,1.61089552238806,0.230128895696878,0.872950137041914,0.814228440917687,1.47766091752631,1.02926844952872,0.200653687420582,0.315323286817238,0.141973693024714,0.211974445494711,0.118439125138084,-0.163145105012621,0.254927851393334,0.535965115837102,1.06219863871383,0.797132029897643,0.623402896406377,1.49097242269049,1.09249176599827,1.89312319633879,1.2614048691598,0.251424638600565,0.00563272541112303,9.7474619487059e-09,3.14837045323202e-12,0,0.0975977842551153,0.981282313311753,0.747384864972599,1.70759636331214,1.01307445431898,0.167040875486953,0.23912857435273,0.124230285013957,0.174767085151973,0.105870486252358,-0.229796315645352,0.512598919905994,0.503897980556097,1.36505917073123,0.805572114238614,0.424991884155583,1.44996570671751,0.990871749389101,2.05013355589305,1.22057679439934,0.559035402860924,4.06812474720297e-05,1.78642167725229e-09,0,0,0.444048324595581,0.00703332971715893,0.283798468937262,0.383173131019835,249,121,562,268,830
"7",7,0.148065843621399,1.05924369747899,0.559449378330373,1.8188,0.596412153483539,1.02636792555931,0.884752842183904,1.34207017761624,1.02988922155171,0.213805957771123,0.336530789478525,0.130461367462167,0.205935551982175,0.110798080445155,0.177360176572047,0.366779698492572,0.62905326058421,0.938443912594799,0.812728974323031,1.01546413039503,1.68595615262605,1.1404524237836,1.74569644263768,1.24704946878038,0.00527891653177903,0.00228956823993487,1.18751675159956e-11,7.17548243045485e-11,0,0.264319434294198,1.09442399116839,0.813640799699741,1.73791481790304,1.09633392832584,0.176034808764676,0.251317401973377,0.115376990163777,0.170696366925666,0.099738498615175,-0.0807024509099621,0.601850934612394,0.587506054334107,1.40335608643691,0.900850063168,0.609341319498358,1.58699704772438,1.03977554506538,2.07247354936918,1.29181779348368,0.13322163415277,1.33219992020095e-05,1.76336723001214e-12,0,0,0.282748147103945,0.0940723728191539,0.467988632805639,0.291126068239394,243,119,563,275,838
"8",8,-0.18352380952381,1.03709923664122,0.847956081081081,1.49479400749064,0.52212818613663,0.838621699391872,0.867727291633517,1.14647608154425,0.963358501107745,0.218445637776201,0.337016516145222,0.129100607011709,0.198512673914267,0.10889140395485,0.0939826035153932,0.178081465552076,0.614694751508308,0.757398390197544,0.749935271130237,0.950273768757866,1.49916193323167,1.12075983175873,1.53555377289096,1.17678173108525,0.016839321223135,0.0128330239679386,1.800781745942e-11,7.68026842123959e-09,0,-0.353394531893857,0.924976450726587,0.89457844860178,1.57597322644041,1.1284437030253,0.179168439285572,0.251825920499103,0.114326187385183,0.165554586462749,0.0981946280749571,-0.704558220059829,0.431406716174697,0.670503238837044,1.251492199498,0.935985768523081,-0.00223084372788468,1.41854618527848,1.11865365836652,1.90045425338283,1.32090163752752,0.0485622415047073,0.0002396455392073,5.10702591327572e-15,0,0,0.19469955738687,0.157926804571876,0.541171072963035,0.211204827121215,210,131,592,267,859
"9",9,0.219906976744186,0.557372881355932,0.725892857142857,1.31067729083665,0.60655072031153,0.755460299197292,0.809406812511391,1.0517961736919,0.881663870633953,0.214362789760773,0.364446128893427,0.125314175311166,0.218268367369695,0.109715414550097,0.186407372754883,0.0411590122611324,0.563795542149166,0.623998034682945,0.666625609566881,1.02669406786818,1.46976158613345,1.05501808287362,1.47959431270086,1.09670213170102,0.00466131837943973,0.0381816078290136,1.05382924608932e-10,1.44409101376919e-06,8.88178419700125e-16,0.267426119309706,0.674236142234335,0.833146201937687,1.2677695995686,0.966072258257793,0.176416326524097,0.266428265390246,0.111347103762116,0.179091934973466,0.098862068560464,-0.0783435269623818,0.152046337605973,0.614909888781094,0.916755857099014,0.772306164442154,0.613195765581794,1.1964259468627,1.05138251509428,1.61878334203818,1.15983835207343,0.129549500161345,0.0113852059512034,7.29416527178728e-14,1.45328193923433e-12,0,0.196607059176037,0.137030660436437,0.563035258882359,0.221644403184758,215,118,616,251,867
"10",10,-0.0625555555555556,1.0512037037037,0.615840707964602,1.54704280155642,0.0953330796790482,0.793841192090159,0.548479931009959,1.19824869171667,0.740116702941329,0.209488357856103,0.341303906705476,0.13697779770464,0.218796889939591,0.117088401253748,-0.315256556899352,0.124897827164607,0.280008380827251,0.769414667505696,0.510627653476608,0.505922716257448,1.46278455701571,0.816951481192667,1.62708271592764,0.96960575240605,0.649054715522713,0.0200235052826571,6.22403221044454e-05,4.33736515592642e-08,2.59862797946653e-10,0.00362891801682755,0.989811783933485,0.391024603398682,1.50092988066867,0.723575236411308,0.173169667015497,0.253908731583286,0.120462715792107,0.179450850686064,0.104802732886748,-0.335777392548341,0.492159814669997,0.154922018966268,1.14921267632891,0.518165654471911,0.343035228581996,1.48746375319697,0.627127187831097,1.85264708500843,0.928984818350705,0.983280872455243,9.68713438600499e-05,0.00117029871140795,0,5.04996044980999e-12,0.426504638611737,0.00644455287642904,0.377794833573744,0.400443343419721,270,108,565,257,822
